Ticker,Year,Borrowings,CFO,CWIP,Depreciation,EquityCapital,FCF,FixedAssets,Interest,Investments,NetProfit,OperatingProfit,OtherAssets,OtherLiabilities,PBT,Reserves,Sales,TotalAssets,TotalLiabilities
AAVAS,2022,,-1135,2,,79,-1150,66,,53,,,10897,199,,2728,,11017,11017
AAVAS,2023,,-1924,20,,79,-1963,78,,111,,,13200,253,,3191,,13410,13410
AAVAS,2024,,-1987,11,,79,-2018,116,,182,,,16210,348,,3694,,16519,16519
ABB,2011,0,120,74,80,42,-34,1195,46,17,185,356,5033,3784,268,2492,7449,6319,6319
ABB,2012,328,-44,117,94,42,-218,1234,57,17,141,355,5137,3575,211,2559,7608,6504,6504
ABB,2024,52,1332,95,34,42,1118,1062,5,2,528,657,11233,5264,702,7033,3365,12391,12391
ABB,2025,85,1220,116,39,42,980,1195,5,2,433,527,12326,5718,571,7794,3423,13638,13638
ABB,2019,,,,22,,,,10,,130,124,,,173,,1726,,
ABB,2022,,,,26,,,,3,,146,200,,,196,,2098,,
ABB,2025,,,,36,,,,4,,352,414,,,474,,3175,,
ABB,2019,,,,23,,,,3,,116,146,,,166,,1850,,
ABB,2022,,,,26,,,,1,,80,188,,,201,,1975,,
ABB,2025,,,,34,,,,5,,475,560,,,631,,3010,,
ABB,2026,,,,42,,,,4,,1784,408,,,1904,,3184,,
ABB,2019,,,,23,,,,4,,135,123,,,169,,1746,,
ABB,2024,,,,33,,,,3,,440,540,,,597,,2912,,
ABB,2025,,,,37,,,,6,,409,500,,,542,,3311,,
ABB,,,,,154,,,,19,,2977,1850,,,3491,,13093,,
ABCAPITAL,2015,,0,8,,757,0,284,,720,,,18630,1857,,1056,,19642,19642
ABCAPITAL,2016,,-8697,11,,796,-8745,314,,1363,,,28353,2574,,1921,,30042,30042
ABCAPITAL,2017,,-7570,35,,1232,-7688,778,,11760,,,65569,38316,,5378,,78141,78141
ABCAPITAL,2018,,-11894,33,,2201,-12049,837,,39573,,,53113,40502,,6337,,93556,93556
ABCAPITAL,2019,,-10256,34,,2201,-10413,892,,43955,,,64589,43633,,7311,,109470,109470
ABCAPITAL,2020,,4271,74,,2414,4117,1181,,48415,,,63850,44978,,10162,,113520,113520
ABCAPITAL,2021,,64,45,,2415,-84,1259,,57703,,,65478,57698,,11327,,124485,124485
ABCAPITAL,2022,,-5070,45,,2416,-5247,1305,,67355,,,72110,66897,,13076,,140815,140815
