Ticker,Sector
LAURUSLABS,Healthcare
LEMONTREE,Consumer Cyclical
LENSKART,Healthcare
LICI,Financial Services
LINDEINDIA,Basic Materials
LLOYDSME,Basic Materials
LODHA,Real Estate
LT,Industrials
LTFOODS,Consumer Defensive
LTM,Technology
LTTS,Technology
LUPIN,Healthcare
M&M,Consumer Cyclical
MANKIND,Healthcare
MAPMYINDIA,Technology
MARICO,Consumer Defensive
MARUTI,Consumer Cyclical
MAXHEALTH,Healthcare
MAZDOCK,Industrials
MCX,Financial Services
MEDANTA,Healthcare
MEESHO,Consumer Cyclical
MFSL,Financial Services
MGL,Utilities
MINDACORP,Consumer Cyclical
MMTC,Industrials
MOTHERSON,Consumer Cyclical
MOTILALOFS,Financial Services
MPHASIS,Technology
MRF,Consumer Cyclical
MRPL,Energy
NAM-INDIA,Financial Services
NATCOPHARM,Healthcare
NATIONALUM,Basic Materials
NAUKRI,Communication Services
NAVA,Industrials
NAVINFLUOR,Basic Materials
NBCC,Industrials
NCC,Industrials
NESTLEIND,Consumer Defensive
NEULANDLAB,Healthcare
NEWGEN,Technology
NH,Healthcare
NHPC,Utilities
NIACL,Financial Services
NLCINDIA,Utilities
NMDC,Basic Materials
NTPC,Utilities
NTPCGREEN,Utilities
NUVAMA,Financial Services
NUVOCO,Basic Materials
NYKAA,Consumer Cyclical
OBEROIRLTY,Real Estate
OFSS,Technology
OIL,Energy
OLAELEC,Consumer Cyclical
OLECTRA,Industrials
ONESOURCE,Healthcare
ONGC,Energy
PARADEEP,Basic Materials
PATANJALI,Consumer Defensive
PAYTM,Technology
PCBL,Basic Materials
PERSISTENT,Technology
PETRONET,Energy
PFIZER,Healthcare
PGEL,Technology
PHOENIXLTD,Real Estate
PIDILITIND,Basic Materials
PIIND,Basic Materials
PINELABS,Technology
PIRAMALFIN,Financial Services
POLICYBZR,Financial Services
POLYCAB,Industrials
POLYMED,Healthcare
POWERGRID,Utilities
PPLPHARMA,Healthcare
PREMIERENE,Technology
PRESTIGE,Real Estate
PTCIL,Industrials
PVRINOX,Communication Services
PWL,Consumer Defensive
RADICO,Consumer Defensive
RAILTEL,Communication Services
RAINBOW,Healthcare
RAMCOCEM,Basic Materials
REDINGTON,Technology
RELIANCE,Energy
RHIM,Industrials
RITES,Industrials
RKFORGE,Industrials
RPOWER,Utilities
RRKABEL,Industrials
RVNL,Industrials
SAGILITY,Healthcare
SAIL,Basic Materials
SAILIFE,Healthcare
SAPPHIRE,Consumer Cyclical
SARDAEN,Basic Materials
SAREGAMA,Communication Services
SCHAEFFLER,Consumer Cyclical
SCI,Industrials
SHREECEM,Basic Materials
SHYAMMETL,Basic Materials
SIEMENS,Industrials
SIGNATURE,Real Estate
SJVN,Utilities
SOBHA,Real Estate
SOLARINDS,Basic Materials
SONACOMS,Consumer Cyclical
SONATSOFTW,Technology
SPLPETRO,Basic Materials
SRF,Industrials
SUMICHEM,Basic Materials
SUNPHARMA,Healthcare
SUNTV,Communication Services
SUPREMEIND,Industrials
SUZLON,Industrials
SWANCORP,Industrials
SWIGGY,Consumer Cyclical
SYNGENE,Healthcare
SYRMA,Technology
TARIL,Industrials
TATACHEM,Basic Materials
TATACOMM,Communication Services
TATACONSUM,Consumer Defensive
TATAELXSI,Technology
TATAINVEST,Financial Services
TATAPOWER,Utilities
TATASTEEL,Basic Materials
TATATECH,Technology
TBOTEK,Consumer Cyclical
TCS,Technology
TECHM,Technology
